tile_id,tile_geometry,pos_date,pos
0526d2ed-5bfa-497e-bfe3-c55822dfde0d_1,"POLYGON ((-96.182577 46.242294, -96.18321498588111 46.24242159717624, -96.18320378233452 46.24264033879164, -96.18237462280021 46.242619891033826, -96.18238939695154 46.242331520609696, -96.182577 46.242294))",2021-09-04,0.8683076923076922
0526d2ed-5bfa-497e-bfe3-c55822dfde0d_2,"POLYGON ((-96.1818006842105 46.2424492631579, -96.18238939695154 46.242331520609696, -96.18237462280021 46.242619891033826, -96.1817618064943 46.24260477402277, -96.1818006842105 46.2424492631579))",2021-09-04,0.8836291913214989
0526d2ed-5bfa-497e-bfe3-c55822dfde0d_3,"POLYGON ((-96.18317431559204 46.24321563923539, -96.18234514741182 46.24319519106929, -96.18237462280021 46.242619891033826, -96.18320378233452 46.24264033879164, -96.18317431559204 46.24321563923539))",2021-09-04,0.848530358292212
0526d2ed-5bfa-497e-bfe3-c55822dfde0d_4,"POLYGON ((-96.1817618064943 46.24260477402277, -96.18237462280021 46.242619891033826, -96.18234514741182 46.24319519106929, -96.18161868240243 46.24317727039024, -96.1817618064943 46.24260477402277))",2021-09-04,0.8746031746031745
0526d2ed-5bfa-497e-bfe3-c55822dfde0d_5,"POLYGON ((-96.1838871756198 46.242556035124, -96.18388821868636 46.2426572125801, -96.18320378233452 46.24264033879164, -96.18321498588111 46.24242159717624, -96.1838871756198 46.242556035124))",2021-09-04,0.850065760631302
0526d2ed-5bfa-497e-bfe3-c55822dfde0d_6,"POLYGON ((-96.183894 46.243218, -96.18389455552139 46.243233395878626, -96.18317431559204 46.24321563923539, -96.18320378233452 46.24264033879164, -96.18388821868636 46.2426572125801, -96.183894 46.243218))",2021-09-04,0.8480402890299977
0526d2ed-5bfa-497e-bfe3-c55822dfde0d_7,"POLYGON ((-96.18314484795023 46.24379093960641, -96.18231567112382 46.243770491032066, -96.18234514741182 46.24319519106929, -96.18317431559204 46.24321563923539, -96.18314484795023 46.24379093960641))",2021-09-04,0.8568447412353923
0526d2ed-5bfa-497e-bfe3-c55822dfde0d_8,"POLYGON ((-96.18161868240243 46.24317727039024, -96.18234514741182 46.24319519106929, -96.18231567112382 46.243770491032066, -96.18148649519703 46.243750036451054, -96.18148933288707 46.24369466845174, -96.18161868240243 46.24317727039024))",2021-09-04,0.8572918839974963
0526d2ed-5bfa-497e-bfe3-c55822dfde0d_10,"POLYGON ((-96.18311537940906 46.244366239904785, -96.1822861939362 46.244345790922125, -96.18231567112382 46.243770491032066, -96.18314484795023 46.24379093960641, -96.18311537940906 46.244366239904785))",2021-09-04,0.8334443704197203
0526d2ed-5bfa-497e-bfe3-c55822dfde0d_11,"POLYGON ((-96.1822861939362 46.244345790922125, -96.181457009363 46.24432533593272, -96.18148649519703 46.243750036451054, -96.18231567112382 46.243770491032066, -96.1822861939362 46.244345790922125))",2021-09-04,0.8499673842139597
